region,country,food_category,food_category_type,product_type,consumption,co2_emmission
Africa,Uganda,Eggs,Poultry (inc. Eggs),Animal,0.97,0.89
Africa,Uganda,Milk - inc. cheese,Milk (inc. cheese),Animal,37.27,53.09
Africa,Uganda,Wheat and Wheat Products,Grains,Plant,10.14,1.93
Africa,Uganda,Rice,Grains,Plant,4.64,5.94
Africa,Uganda,Soybeans,Legumes,Plant,0.01,0
Africa,Uganda,Nuts inc. Peanut Butter,Legumes,Plant,3.77,6.67
Asia,Nepal,Pork,Other Meat (inc. Fish),Animal,0.67,2.37
Asia,Nepal,Poultry,Poultry (inc. Eggs),Animal,1.56,1.68
Asia,Nepal,Beef,Beef,Animal,7.89,243.47
Asia,Nepal,Lamb & Goat,Other Meat (inc. Fish),Animal,2.1,73.54
Asia,Nepal,Fish,Other Meat (inc. Fish),Animal,2.17,3.46
Asia,Nepal,Eggs,Poultry (inc. Eggs),Animal,1.42,1.3
Asia,Nepal,Milk - inc. cheese,Milk (inc. cheese),Animal,52.1,74.21
Asia,Nepal,Wheat and Wheat Products,Grains,Plant,50.46,9.62
Asia,Nepal,Rice,Grains,Plant,87.75,112.29
Asia,Nepal,Soybeans,Legumes,Plant,0.01,0
Asia,Nepal,Nuts inc. Peanut Butter,Legumes,Plant,2.42,4.28
Asia,Iran,Pork,Other Meat (inc. Fish),Animal,0,0
Asia,Iran,Poultry,Poultry (inc. Eggs),Animal,25.38,27.26
Asia,Iran,Beef,Beef,Animal,3.58,110.47
Asia,Iran,Lamb & Goat,Other Meat (inc. Fish),Animal,3.69,129.22
Asia,Iran,Fish,Other Meat (inc. Fish),Animal,9.8,15.65
Asia,Iran,Eggs,Poultry (inc. Eggs),Animal,7.7,7.07
Asia,Iran,Milk - inc. cheese,Milk (inc. cheese),Animal,46.69,66.51
Asia,Iran,Wheat and Wheat Products,Grains,Plant,153.31,29.24
Asia,Iran,Rice,Grains,Plant,29.95,38.33
Asia,Iran,Soybeans,Legumes,Plant,0,0
Asia,Iran,Nuts inc. Peanut Butter,Legumes,Plant,12.16,21.52
Africa,Tanzania,Pork,Other Meat (inc. Fish),Animal,0.32,1.13
Africa,Tanzania,Poultry,Poultry (inc. Eggs),Animal,1.84,1.98
Africa,Tanzania,Beef,Beef,Animal,6.09,187.92
Africa,Tanzania,Lamb & Goat,Other Meat (inc. Fish),Animal,1.28,44.83
Africa,Tanzania,Fish,Other Meat (inc. Fish),Animal,5.5,8.78
Africa,Tanzania,Eggs,Poultry (inc. Eggs),Animal,0.58,0.53
Africa,Tanzania,Milk - inc. cheese,Milk (inc. cheese),Animal,40.29,57.39
Africa,Tanzania,Wheat and Wheat Products,Grains,Plant,15.94,3.04
Africa,Tanzania,Rice,Grains,Plant,21.01,26.89
Africa,Tanzania,Soybeans,Legumes,Plant,0.04,0.02
Africa,Tanzania,Nuts inc. Peanut Butter,Legumes,Plant,5.94,10.51
Africa,Senegal,Pork,Other Meat (inc. Fish),Animal,0.94,3.33
Africa,Senegal,Poultry,Poultry (inc. Eggs),Animal,4.62,4.96
Africa,Senegal,Beef,Beef,Animal,5.85,180.52
Africa,Senegal,Lamb & Goat,Other Meat (inc. Fish),Animal,3.19,111.71
Africa,Senegal,Fish,Other Meat (inc. Fish),Animal,22.94,36.63
Africa,Senegal,Eggs,Poultry (inc. Eggs),Animal,1.63,1.5
Africa,Senegal,Milk - inc. cheese,Milk (inc. cheese),Animal,16.86,24.02
Africa,Senegal,Wheat and Wheat Products,Grains,Plant,37.32,7.12
Africa,Senegal,Rice,Grains,Plant,72.29,92.51
Africa,Senegal,Soybeans,Legumes,Plant,0,0
Africa,Senegal,Nuts inc. Peanut Butter,Legumes,Plant,4.03,7.13
South America,Peru,Pork,Other Meat (inc. Fish),Animal,3.85,13.63
South America,Peru,Poultry,Poultry (inc. Eggs),Animal,11.72,12.59
South America,Peru,Beef,Beef,Animal,4.69,144.72
South America,Peru,Lamb & Goat,Other Meat (inc. Fish),Animal,1,35.02
South America,Peru,Fish,Other Meat (inc. Fish),Animal,15.74,25.13
South America,Peru,Eggs,Poultry (inc. Eggs),Animal,8.76,8.05
South America,Peru,Milk - inc. cheese,Milk (inc. cheese),Animal,62.15,88.53
South America,Peru,Wheat and Wheat Products,Grains,Plant,56.12,10.7
South America,Peru,Rice,Grains,Plant,48.92,62.6
South America,Peru,Soybeans,Legumes,Plant,1.59,0.72
South America,Peru,Nuts inc. Peanut Butter,Legumes,Plant,0.65,1.15
North America,Nicaragua,Pork,Other Meat (inc. Fish),Animal,3.38,11.96
North America,Nicaragua,Poultry,Poultry (inc. Eggs),Animal,21.31,22.89
North America,Nicaragua,Beef,Beef,Animal,4.73,145.96
North America,Nicaragua,Lamb & Goat,Other Meat (inc. Fish),Animal,0.01,0.35
North America,Nicaragua,Fish,Other Meat (inc. Fish),Animal,3.59,5.73
North America,Nicaragua,Eggs,Poultry (inc. Eggs),Animal,4.9,4.5
North America,Nicaragua,Milk - inc. cheese,Milk (inc. cheese),Animal,85.16,121.3
North America,Nicaragua,Wheat and Wheat Products,Grains,Plant,28.17,5.37
North America,Nicaragua,Rice,Grains,Plant,43.33,55.45
North America,Nicaragua,Soybeans,Legumes,Plant,0.01,0
North America,Nicaragua,Nuts inc. Peanut Butter,Legumes,Plant,2.36,4.18
Asia,Vietnam,Pork,Other Meat (inc. Fish),Animal,35,123.88
Asia,Vietnam,Poultry,Poultry (inc. Eggs),Animal,12.36,13.28
Asia,Vietnam,Beef,Beef,Animal,7.44,229.58
Asia,Vietnam,Lamb & Goat,Other Meat (inc. Fish),Animal,0.14,4.9
Asia,Vietnam,Fish,Other Meat (inc. Fish),Animal,26.52,42.34
Asia,Vietnam,Eggs,Poultry (inc. Eggs),Animal,3.84,3.53
Asia,Vietnam,Milk - inc. cheese,Milk (inc. cheese),Animal,16.36,23.3
Asia,Vietnam,Wheat and Wheat Products,Grains,Plant,10.49,2
Asia,Vietnam,Rice,Grains,Plant,144.56,184.99
Asia,Vietnam,Soybeans,Legumes,Plant,5.75,2.59
Asia,Vietnam,Nuts inc. Peanut Butter,Legumes,Plant,6.28,11.12
Africa,Ethiopia,Pork,Other Meat (inc. Fish),Animal,0.02,0.07
Africa,Ethiopia,Poultry,Poultry (inc. Eggs),Animal,0.66,0.71
Africa,Ethiopia,Beef,Beef,Animal,3.61,111.4
Africa,Ethiopia,Lamb & Goat,Other Meat (inc. Fish),Animal,1.57,54.98
Africa,Ethiopia,Fish,Other Meat (inc. Fish),Animal,0.24,0.38
Africa,Ethiopia,Eggs,Poultry (inc. Eggs),Animal,0.36,0.33
Africa,Ethiopia,Milk - inc. cheese,Milk (inc. cheese),Animal,44.14,62.87
Africa,Ethiopia,Wheat and Wheat Products,Grains,Plant,31.26,5.96
Africa,Ethiopia,Rice,Grains,Plant,2.25,2.88
Africa,Ethiopia,Soybeans,Legumes,Plant,0.45,0.2
Africa,Ethiopia,Nuts inc. Peanut Butter,Legumes,Plant,1.21,2.14
Asia,Myanmar,Pork,Other Meat (inc. Fish),Animal,11.31,40.03
Asia,Myanmar,Poultry,Poultry (inc. Eggs),Animal,21.87,23.49
Asia,Myanmar,Beef,Beef,Animal,4.94,152.44
Asia,Myanmar,Lamb & Goat,Other Meat (inc. Fish),Animal,0.89,31.17
Asia,Myanmar,Fish,Other Meat (inc. Fish),Animal,54.26,86.64
Asia,Myanmar,Eggs,Poultry (inc. Eggs),Animal,6.45,5.92
Asia,Myanmar,Milk - inc. cheese,Milk (inc. cheese),Animal,31.48,44.84
Asia,Myanmar,Wheat and Wheat Products,Grains,Plant,6.22,1.19
Asia,Myanmar,Rice,Grains,Plant,132.8,169.94
Asia,Myanmar,Soybeans,Legumes,Plant,0.38,0.17
Asia,Myanmar,Nuts inc. Peanut Butter,Legumes,Plant,4.5,7.97
Africa,Congo,Pork,Other Meat (inc. Fish),Animal,2.39,8.46
Africa,Congo,Poultry,Poultry (inc. Eggs),Animal,13.02,13.99
Africa,Congo,Beef,Beef,Animal,4.35,134.23
Africa,Congo,Lamb & Goat,Other Meat (inc. Fish),Animal,0.4,14.01
Africa,Congo,Fish,Other Meat (inc. Fish),Animal,26.22,41.86
Africa,Congo,Eggs,Poultry (inc. Eggs),Animal,0.6,0.55
Africa,Congo,Milk - inc. cheese,Milk (inc. cheese),Animal,10.69,15.23
Africa,Congo,Wheat and Wheat Products,Grains,Plant,40.07,7.64
Africa,Congo,Rice,Grains,Plant,16.51,21.13
Africa,Congo,Soybeans,Legumes,Plant,0,0
Africa,Congo,Nuts inc. Peanut Butter,Legumes,Plant,3.08,5.45
Africa,Zambia,Pork,Other Meat (inc. Fish),Animal,1.66,5.88
Africa,Zambia,Poultry,Poultry (inc. Eggs),Animal,3.29,3.53
Africa,Zambia,Beef,Beef,Animal,4.76,146.88
Africa,Zambia,Lamb & Goat,Other Meat (inc. Fish),Animal,0.68,23.81
Africa,Zambia,Fish,Other Meat (inc. Fish),Animal,6.2,9.9
Africa,Zambia,Eggs,Poultry (inc. Eggs),Animal,3.32,3.05
Africa,Zambia,Milk - inc. cheese,Milk (inc. cheese),Animal,9.71,13.83
Africa,Zambia,Wheat and Wheat Products,Grains,Plant,12.1,2.31
Africa,Zambia,Rice,Grains,Plant,3.05,3.9
Africa,Zambia,Soybeans,Legumes,Plant,7.3,3.29
Africa,Zambia,Nuts inc. Peanut Butter,Legumes,Plant,5.04,8.92
Africa,Cameroon,Pork,Other Meat (inc. Fish),Animal,1.47,5.2
Africa,Cameroon,Poultry,Poultry (inc. Eggs),Animal,3.29,3.53
Africa,Cameroon,Beef,Beef,Animal,4.17,128.68
Africa,Cameroon,Lamb & Goat,Other Meat (inc. Fish),Animal,1.4,49.03
Africa,Cameroon,Fish,Other Meat (inc. Fish),Animal,14.71,23.49
Africa,Cameroon,Eggs,Poultry (inc. Eggs),Animal,0.4,0.37
Africa,Cameroon,Milk - inc. cheese,Milk (inc. cheese),Animal,15.27,21.75
Africa,Cameroon,Wheat and Wheat Products,Grains,Plant,22.6,4.31
Africa,Cameroon,Rice,Grains,Plant,23.85,30.52
Africa,Cameroon,Soybeans,Legumes,Plant,0.64,0.29
Africa,Cameroon,Nuts inc. Peanut Butter,Legumes,Plant,9.29,16.44
Africa,Madagascar,Pork,Other Meat (inc. Fish),Animal,2.56,9.06
Africa,Madagascar,Poultry,Poultry (inc. Eggs),Animal,3.14,3.37
Africa,Madagascar,Beef,Beef,Animal,7.51,231.74
Africa,Madagascar,Lamb & Goat,Other Meat (inc. Fish),Animal,0.57,19.96
Africa,Madagascar,Fish,Other Meat (inc. Fish),Animal,4.41,7.04
Africa,Madagascar,Eggs,Poultry (inc. Eggs),Animal,0.71,0.65
Africa,Madagascar,Milk - inc. cheese,Milk (inc. cheese),Animal,24.84,35.38
Africa,Madagascar,Wheat and Wheat Products,Grains,Plant,9.01,1.72
Africa,Madagascar,Rice,Grains,Plant,102.53,131.21
Africa,Madagascar,Soybeans,Legumes,Plant,0,0
Africa,Madagascar,Nuts inc. Peanut Butter,Legumes,Plant,0.35,0.62
Africa,Malawi,Pork,Other Meat (inc. Fish),Animal,5.45,19.29
Africa,Malawi,Poultry,Poultry (inc. Eggs),Animal,1.38,1.48
Africa,Malawi,Beef,Beef,Animal,2.35,72.52
Africa,Malawi,Lamb & Goat,Other Meat (inc. Fish),Animal,2.07,72.49
Africa,Malawi,Fish,Other Meat (inc. Fish),Animal,7.33,11.7
Africa,Malawi,Eggs,Poultry (inc. Eggs),Animal,1.08,0.99
Africa,Malawi,Milk - inc. cheese,Milk (inc. cheese),Animal,7.98,11.37
Africa,Malawi,Wheat and Wheat Products,Grains,Plant,11.77,2.24
Africa,Malawi,Rice,Grains,Plant,4.75,6.08
Africa,Malawi,Soybeans,Legumes,Plant,1.76,0.79
Africa,Malawi,Nuts inc. Peanut Butter,Legumes,Plant,5.08,8.99
Africa,Guinea,Pork,Other Meat (inc. Fish),Animal,0.16,0.57
Africa,Guinea,Poultry,Poultry (inc. Eggs),Animal,1.83,1.97
Africa,Guinea,Beef,Beef,Animal,6.26,193.17
Africa,Guinea,Lamb & Goat,Other Meat (inc. Fish),Animal,1.6,56.03
Africa,Guinea,Fish,Other Meat (inc. Fish),Animal,9.18,14.66
Africa,Guinea,Eggs,Poultry (inc. Eggs),Animal,1.95,1.79
Africa,Guinea,Milk - inc. cheese,Milk (inc. cheese),Animal,20.62,29.37
Africa,Guinea,Wheat and Wheat Products,Grains,Plant,18.55,3.54
Africa,Guinea,Rice,Grains,Plant,97.12,124.28
Africa,Guinea,Soybeans,Legumes,Plant,0,0
Africa,Guinea,Nuts inc. Peanut Butter,Legumes,Plant,4.14,7.33
Africa,Nigeria,Pork,Other Meat (inc. Fish),Animal,1.47,5.2
Africa,Nigeria,Poultry,Poultry (inc. Eggs),Animal,1.73,1.86
Africa,Nigeria,Beef,Beef,Animal,2.33,71.9
Africa,Nigeria,Lamb & Goat,Other Meat (inc. Fish),Animal,2.72,95.25
Africa,Nigeria,Fish,Other Meat (inc. Fish),Animal,16.03,25.59
Africa,Nigeria,Eggs,Poultry (inc. Eggs),Animal,3.46,3.18
Africa,Nigeria,Milk - inc. cheese,Milk (inc. cheese),Animal,7.91,11.27
Africa,Nigeria,Wheat and Wheat Products,Grains,Plant,20.82,3.97
Africa,Nigeria,Rice,Grains,Plant,28.23,36.13
Africa,Nigeria,Soybeans,Legumes,Plant,2.6,1.17
Africa,Nigeria,Nuts inc. Peanut Butter,Legumes,Plant,6.93,12.27
Africa,Rwanda,Pork,Other Meat (inc. Fish),Animal,0.76,2.69
Africa,Rwanda,Poultry,Poultry (inc. Eggs),Animal,1.34,1.44
Africa,Rwanda,Beef,Beef,Animal,2.53,78.07
Africa,Rwanda,Lamb & Goat,Other Meat (inc. Fish),Animal,1.93,67.59
Africa,Rwanda,Fish,Other Meat (inc. Fish),Animal,3.88,6.2
Africa,Rwanda,Eggs,Poultry (inc. Eggs),Animal,0.16,0.15
Africa,Rwanda,Milk - inc. cheese,Milk (inc. cheese),Animal,7.23,10.3
Africa,Rwanda,Wheat and Wheat Products,Grains,Plant,11.34,2.16
Africa,Rwanda,Rice,Grains,Plant,8.7,11.13
Africa,Rwanda,Soybeans,Legumes,Plant,1.93,0.87
Africa,Rwanda,Nuts inc. Peanut Butter,Legumes,Plant,0.58,1.03
Asia,Philippines,Pork,Other Meat (inc. Fish),Animal,18.4,65.13
Asia,Philippines,Poultry,Poultry (inc. Eggs),Animal,11.91,12.79
Asia,Philippines,Beef,Beef,Animal,4.06,125.28
Asia,Philippines,Lamb & Goat,Other Meat (inc. Fish),Animal,0.56,19.61
Asia,Philippines,Fish,Other Meat (inc. Fish),Animal,28.51,45.52
Asia,Philippines,Eggs,Poultry (inc. Eggs),Animal,4.02,3.69
Asia,Philippines,Milk - inc. cheese,Milk (inc. cheese),Animal,15.66,22.31
Asia,Philippines,Wheat and Wheat Products,Grains,Plant,23.12,4.41
Asia,Philippines,Rice,Grains,Plant,119.44,152.85
Asia,Philippines,Soybeans,Legumes,Plant,0.03,0.01
Asia,Philippines,Nuts inc. Peanut Butter,Legumes,Plant,2.08,3.68
Africa,Ghana,Pork,Other Meat (inc. Fish),Animal,1.36,4.81
Africa,Ghana,Poultry,Poultry (inc. Eggs),Animal,8.63,9.27
Africa,Ghana,Beef,Beef,Animal,1.09,33.64
Africa,Ghana,Lamb & Goat,Other Meat (inc. Fish),Animal,1.74,60.93
Africa,Ghana,Fish,Other Meat (inc. Fish),Animal,26.05,41.59
Africa,Ghana,Eggs,Poultry (inc. Eggs),Animal,1.21,1.11
Africa,Ghana,Milk - inc. cheese,Milk (inc. cheese),Animal,9.08,12.93
Africa,Ghana,Wheat and Wheat Products,Grains,Plant,14.45,2.76
Africa,Ghana,Rice,Grains,Plant,32.03,40.99
Africa,Ghana,Soybeans,Legumes,Plant,0.01,0
Africa,Ghana,Nuts inc. Peanut Butter,Legumes,Plant,5.56,9.84
Africa,Togo,Pork,Other Meat (inc. Fish),Animal,1.57,5.56
Africa,Togo,Poultry,Poultry (inc. Eggs),Animal,6.63,7.12
Africa,Togo,Beef,Beef,Animal,1.53,47.21
Africa,Togo,Lamb & Goat,Other Meat (inc. Fish),Animal,1.58,55.33
Africa,Togo,Fish,Other Meat (inc. Fish),Animal,11.69,18.67
Africa,Togo,Eggs,Poultry (inc. Eggs),Animal,0.86,0.79
Africa,Togo,Milk - inc. cheese,Milk (inc. cheese),Animal,7.96,11.34
Africa,Togo,Wheat and Wheat Products,Grains,Plant,12.91,2.46
Africa,Togo,Rice,Grains,Plant,25.99,33.26
Africa,Togo,Soybeans,Legumes,Plant,0.01,0
Africa,Togo,Nuts inc. Peanut Butter,Legumes,Plant,3.59,6.35
Africa,Gambia,Pork,Other Meat (inc. Fish),Animal,0.18,0.64
Africa,Gambia,Poultry,Poultry (inc. Eggs),Animal,2.66,2.86
Africa,Gambia,Beef,Beef,Animal,2.16,66.65
Africa,Gambia,Lamb & Goat,Other Meat (inc. Fish),Animal,0.71,24.86
Africa,Gambia,Fish,Other Meat (inc. Fish),Animal,23.13,36.93
Africa,Gambia,Eggs,Poultry (inc. Eggs),Animal,0.99,0.91
Africa,Gambia,Milk - inc. cheese,Milk (inc. cheese),Animal,45.71,65.11
Africa,Gambia,Wheat and Wheat Products,Grains,Plant,37.91,7.23
Africa,Gambia,Rice,Grains,Plant,61.84,79.14
Africa,Gambia,Soybeans,Legumes,Plant,0,0
Africa,Gambia,Nuts inc. Peanut Butter,Legumes,Plant,5.27,9.33
Asia,India,Pork,Other Meat (inc. Fish),Animal,0.28,0.99
Asia,India,Poultry,Poultry (inc. Eggs),Animal,1.88,2.02
Asia,India,Beef,Beef,Animal,0.81,24.99
Asia,India,Lamb & Goat,Other Meat (inc. Fish),Animal,0.58,20.31
Asia,India,Fish,Other Meat (inc. Fish),Animal,4.71,7.52
Asia,India,Eggs,Poultry (inc. Eggs),Animal,2.58,2.37
Asia,India,Milk - inc. cheese,Milk (inc. cheese),Animal,84.5,120.36
Asia,India,Wheat and Wheat Products,Grains,Plant,60.56,11.55
Asia,India,Rice,Grains,Plant,69.49,88.93
Asia,India,Soybeans,Legumes,Plant,0.39,0.18
Asia,India,Nuts inc. Peanut Butter,Legumes,Plant,1.92,3.4
Asia,Thailand,Pork,Other Meat (inc. Fish),Animal,13,46.01
Asia,Thailand,Poultry,Poultry (inc. Eggs),Animal,13.69,14.71
Asia,Thailand,Beef,Beef,Animal,2.56,79
Asia,Thailand,Lamb & Goat,Other Meat (inc. Fish),Animal,0.05,1.75
Asia,Thailand,Fish,Other Meat (inc. Fish),Animal,19.45,31.06
Asia,Thailand,Eggs,Poultry (inc. Eggs),Animal,12.35,11.34
Asia,Thailand,Milk - inc. cheese,Milk (inc. cheese),Animal,29.35,41.81
Asia,Thailand,Wheat and Wheat Products,Grains,Plant,10.93,2.08
Asia,Thailand,Rice,Grains,Plant,114.57,146.62
Asia,Thailand,Soybeans,Legumes,Plant,2.13,0.96
Asia,Thailand,Nuts inc. Peanut Butter,Legumes,Plant,1.5,2.66
Africa,Mozambique,Pork,Other Meat (inc. Fish),Animal,5.13,18.16
Africa,Mozambique,Poultry,Poultry (inc. Eggs),Animal,1.41,1.51
Africa,Mozambique,Beef,Beef,Animal,1.04,32.09
Africa,Mozambique,Lamb & Goat,Other Meat (inc. Fish),Animal,0.9,31.52
Africa,Mozambique,Fish,Other Meat (inc. Fish),Animal,7.74,12.36
Africa,Mozambique,Eggs,Poultry (inc. Eggs),Animal,1.7,1.56
Africa,Mozambique,Milk - inc. cheese,Milk (inc. cheese),Animal,4.79,6.82
Africa,Mozambique,Wheat and Wheat Products,Grains,Plant,14.65,2.79
Africa,Mozambique,Rice,Grains,Plant,23.41,29.96
Africa,Mozambique,Soybeans,Legumes,Plant,0.03,0.01
Africa,Mozambique,Nuts inc. Peanut Butter,Legumes,Plant,2.61,4.62
Africa,Cambodia,Pork,Other Meat (inc. Fish),Animal,6.52,23.08
Africa,Cambodia,Poultry,Poultry (inc. Eggs),Animal,1.84,1.98
Africa,Cambodia,Beef,Beef,Animal,4.85,149.66
Africa,Cambodia,Lamb & Goat,Other Meat (inc. Fish),Animal,0,0
Africa,Cambodia,Fish,Other Meat (inc. Fish),Animal,39.59,63.21
Africa,Cambodia,Eggs,Poultry (inc. Eggs),Animal,1.37,1.26
Africa,Cambodia,Milk - inc. cheese,Milk (inc. cheese),Animal,3.47,4.94
Africa,Cambodia,Wheat and Wheat Products,Grains,Plant,2.74,0.52
Africa,Cambodia,Rice,Grains,Plant,159.1,203.6
Africa,Cambodia,Soybeans,Legumes,Plant,4.33,1.95
Africa,Cambodia,Nuts inc. Peanut Butter,Legumes,Plant,1.25,2.21
Africa,Sierra Leone,Pork,Other Meat (inc. Fish),Animal,1.22,4.32
Africa,Sierra Leone,Poultry,Poultry (inc. Eggs),Animal,4.97,5.34
Africa,Sierra Leone,Beef,Beef,Animal,1.99,61.41
Africa,Sierra Leone,Lamb & Goat,Other Meat (inc. Fish),Animal,0.65,22.76
Africa,Sierra Leone,Fish,Other Meat (inc. Fish),Animal,32.03,51.14
Africa,Sierra Leone,Eggs,Poultry (inc. Eggs),Animal,1.92,1.76
Africa,Sierra Leone,Milk - inc. cheese,Milk (inc. cheese),Animal,7,9.97
Africa,Sierra Leone,Wheat and Wheat Products,Grains,Plant,8.72,1.66
Africa,Sierra Leone,Rice,Grains,Plant,103.3,132.19
Africa,Sierra Leone,Soybeans,Legumes,Plant,0,0
Africa,Sierra Leone,Nuts inc. Peanut Butter,Legumes,Plant,5.57,9.86
Asia,Sri Lanka,Pork,Other Meat (inc. Fish),Animal,0.05,0.18
Asia,Sri Lanka,Poultry,Poultry (inc. Eggs),Animal,4.96,5.33
Asia,Sri Lanka,Beef,Beef,Animal,1.38,42.58
Asia,Sri Lanka,Lamb & Goat,Other Meat (inc. Fish),Animal,0.09,3.15
Asia,Sri Lanka,Fish,Other Meat (inc. Fish),Animal,24.92,39.79
Asia,Sri Lanka,Eggs,Poultry (inc. Eggs),Animal,4.57,4.2
Asia,Sri Lanka,Milk - inc. cheese,Milk (inc. cheese),Animal,34.98,49.83
Asia,Sri Lanka,Wheat and Wheat Products,Grains,Plant,37.01,7.06
Asia,Sri Lanka,Rice,Grains,Plant,109.72,140.41
Asia,Sri Lanka,Soybeans,Legumes,Plant,0,0
Asia,Sri Lanka,Nuts inc. Peanut Butter,Legumes,Plant,1.09,1.93
Asia,Indonesia,Pork,Other Meat (inc. Fish),Animal,2.98,10.55
Asia,Indonesia,Poultry,Poultry (inc. Eggs),Animal,7.5,8.06
Asia,Indonesia,Beef,Beef,Animal,2.59,79.92
Asia,Indonesia,Lamb & Goat,Other Meat (inc. Fish),Animal,0.46,16.11
Asia,Indonesia,Fish,Other Meat (inc. Fish),Animal,25.65,40.95
Asia,Indonesia,Eggs,Poultry (inc. Eggs),Animal,4.88,4.48
Asia,Indonesia,Milk - inc. cheese,Milk (inc. cheese),Animal,14.82,21.11
Asia,Indonesia,Wheat and Wheat Products,Grains,Plant,25.45,4.85
Asia,Indonesia,Rice,Grains,Plant,134.62,172.27
Asia,Indonesia,Soybeans,Legumes,Plant,1.12,0.5
Asia,Indonesia,Nuts inc. Peanut Butter,Legumes,Plant,4.92,8.71
Africa,Liberia,Pork,Other Meat (inc. Fish),Animal,4.01,14.19
Africa,Liberia,Poultry,Poultry (inc. Eggs),Animal,8.91,9.57
Africa,Liberia,Beef,Beef,Animal,0.78,24.07
Africa,Liberia,Lamb & Goat,Other Meat (inc. Fish),Animal,0.48,16.81
Africa,Liberia,Fish,Other Meat (inc. Fish),Animal,4.13,6.59
Africa,Liberia,Eggs,Poultry (inc. Eggs),Animal,2.05,1.88
Africa,Liberia,Milk - inc. cheese,Milk (inc. cheese),Animal,3.04,4.33
Africa,Liberia,Wheat and Wheat Products,Grains,Plant,10.95,2.09
Africa,Liberia,Rice,Grains,Plant,94.75,121.25
Africa,Liberia,Soybeans,Legumes,Plant,0.63,0.28
Africa,Liberia,Nuts inc. Peanut Butter,Legumes,Plant,1.31,2.32
Asia,Bangladesh,Pork,Other Meat (inc. Fish),Animal,0,0
Asia,Bangladesh,Poultry,Poultry (inc. Eggs),Animal,1.4,1.5
Asia,Bangladesh,Beef,Beef,Animal,1.28,39.5
Asia,Bangladesh,Lamb & Goat,Other Meat (inc. Fish),Animal,1.33,46.58
Asia,Bangladesh,Fish,Other Meat (inc. Fish),Animal,18.07,28.85
Asia,Bangladesh,Eggs,Poultry (inc. Eggs),Animal,2.08,1.91
Asia,Bangladesh,Milk - inc. cheese,Milk (inc. cheese),Animal,21.91,31.21
Asia,Bangladesh,Wheat and Wheat Products,Grains,Plant,17.47,3.33
Asia,Bangladesh,Rice,Grains,Plant,171.73,219.76
Asia,Bangladesh,Soybeans,Legumes,Plant,0.61,0.27
Asia,Bangladesh,Nuts inc. Peanut Butter,Legumes,Plant,0.72,1.27
